CTY_CODE,CTY_DESC,END_USE,COMM_DESC,value_13,value_14,value_15,value_16,value_17,value_18,value_19,value_20,value_21,value_22
0000,World Total,00000,Wheat,10668357363,7908281456,5792930185,5536722692,6219615917,5585110927,6408046817,6451135318,7419392144,8524813240
0000,World Total,00010,Rice,2304987776,2129640289,2131553575,1915510953,1832972327,1813529507,1999045590,2005155218,2071454648,1835866072
0000,World Total,00100,Soybeans,22980697738,25124125958,19759774412,23616873072,22229103663,18146154988,19642002141,26586550275,28569352313,35448778050
0000,World Total,00110,"Oilseeds, food oils",2999092238,2838405204,2732312489,2737746956,2847062007,2676479898,2496877460,2737536314,3054226044,3703720055
0000,World Total,00200,Corn,7769679553,11937902975,9383178818,10873241063,10162952405,13527423118,8639378042,10202840897,19769781438,19772561092
0000,World Total,00210,"Sorghum, barley, oats",629936692,1807362109,2388986893,1382457849,1130074053,866436792,616922329,1472736360,2069308176,2244080671
0000,World Total,00220,"Animal feeds, n.e.c.",8980419263,9000664376,8611757398,8202341971,8232964706,9071787107,8791186114,9321040531,10901498894,12388770415
0000,World Total,00300,"Meat, poultry, etc.",18464795777,20069042017,16625718621,16883390233,18837559489,19904226511,20261076355,20477935280,25036272063,26547543408
0000,World Total,00310,Dairy products and eggs,5755030087,6190046447,4417312810,3862333954,4454503491,4593113131,4953530254,5444473639,6498513142,7967005850
0000,World Total,00320,"Fruits,  frozen juices",9498305048,9396388698,8869702662,8641701914,8839924660,8775067804,8400734940,8119464711,8678778969,8622276160
0000,World Total,00330,Vegetables,6755429031,6988254000,6806929407,6996860412,7049280674,6764228480,7019887830,6829778513,7177283946,7490239360
0000,World Total,00340,Nuts,8468110823,8809973680,9240385172,8853106009,9251087816,9269732175,9843033932,9279183602,9620675282,9698850426
0000,World Total,00350,Bakery products,6481291466,6482836897,6350297758,6315401324,6140467879,6269833469,6244446824,5814275988,6366334105,7128723073
0000,World Total,00360,Other foods,12829826524,14488638960,14111456402,14416482577,14699174656,15046182595,15687847602,15666164839,17363502290,17760727372
0000,World Total,00370,"Wine, beer, and related products",2141251526,2103003922,2268556443,2294681496,2292866553,2227498125,2058273959,1859863147,2073243453,2122321087
0000,World Total,01000,Fish and shellfish,5824191456,5977774872,5775924681,5640584659,5942190276,5833617002,5444634902,4577949064,5433505432,5632955972
0000,World Total,01010,"Alcoholic beverages, excluding wine",1917883216,2022253379,2017581838,1913720913,2150973685,2341363077,2084005356,1996357167,1932601124,2560063065
0000,World Total,01020,"Nonagricultural foods, etc.",1693755493,446614664,436220352,431991608,447788276,432174164,397277459,438893881,440047032,456431151
0000,World Total,10000,"Cotton, raw",5629603848,4412321756,3902832471,3967647771,5845639214,6561949491,6146943961,5959298001,5689008314,8949890956
0000,World Total,10100,"Tobacco, unmanufactured",1183875818,1117534480,1130569814,1115863942,1086247119,1044738138,741084315,677437524,833464255,852894387
0000,World Total,10120,Hides and skins,3136303587,2931449246,2441485472,1966090899,1918868207,1461371030,1049182831,835292344,1184613469,1133393039
0000,World Total,10130,Agric. industry-unmanufactured,5003610331,4908070048,4648270041,3766808472,3699495236,4259823534,4018080205,4286679012,5732614462,5946847655
0000,World Total,10140,Agric. farming-unmanufactured,3340463747,3318377481,3100601520,3166985054,3429353839,3617084871,3353087377,3148286139,3428031145,3466168082
0000,World Total,10150,"Agriculture-manufactured, other",2797389162,3040606048,2965303430,3012891270,3178980287,3365192760,3376419299,3483601122,4104138808,4180506865
0000,World Total,11010,Metallurgical grade coal,7787249524,6064075363,4191603950,3578480960,7470954544,8729977236,7422707975,4511117506,7422570862,13565182657
0000,World Total,11020,"Coal and fuels, other",6527031946,5812297882,4664676756,4150812147,6337304735,7702142852,6487148051,5413164854,7364672410,11771441769
0000,World Total,11100,Crude oil,4905421393,11618531182,7880310867,9342818849,22680799348,48096241811,64542351388,49748462833,69482417678,119117789014
0000,World Total,11110,Fuel oil,64675680024,59816832012,36361631976,29216987836,38176970597,43144305908,40971767961,26458697830,32081720432,58496682507
0000,World Total,11120,"Petroleum products, other",60868500843,63144412304,45792238982,40957369192,49192508982,63977323715,56291665032,38752054057,64278753459,91221754743
0000,World Total,11130,Natural gas liquids,6972453420,10657125011,8058089114,9332229086,15592178847,19558191238,17481791484,16123813819,30904551597,38048376141
0000,World Total,11200,Gas-natural,6070892413,7672203325,4772428451,4611416816,8170999054,10577772253,15525505637,18661521882,40143180049,63076153144
0000,World Total,11300,Nuclear fuel materials,1227131309,1093207075,1628040458,879407713,916011969,762737433,586848522,791604143,869822966,675808208
0000,World Total,11400,Electric energy,356159864,564139834,241128045,193254705,186602463,392739779,435540364,181552069,504890420,732059196
0000,World Total,12000,Steelmaking materials,10658569109,9389700445,5752753579,4947786891,6795558440,8372745117,7887481847,6939841351,10489215193,10501349078
0000,World Total,12100,Iron and steel mill products,11137838631,11331120439,9488965010,8411963390,10018521187,9241799433,7911291056,6581046429,9839296487,11982334173
0000,World Total,12110,"Iron and steel products, other",7358609636,7645758509,6860588121,6060587781,6540879201,6812220395,6290749986,5288608270,6384616043,7606101608
0000,World Total,12200,Aluminum and alumina,9386759337,8916762892,8240198423,8467082212,7860127921,8735621838,7361296871,6143310562,8341939194,10184881310
0000,World Total,12210,Copper,8562062763,8757361018,7290969235,6186144596,6171728474,7304756184,6910213227,6380039023,9887089035,9699472533
0000,World Total,12260,Nonmonetary gold,33152870448,22047948178,20895785751,20142574783,21021102939,21439102029,18697730968,23236203062,30946445980,40083611826
0000,World Total,12270,"Precious metals, other",7390142768,7582310177,6320859309,5700152870,6635361996,8696766330,10237788181,17737570186,24936092340,18785746521
0000,World Total,12290,"Nonferrous metals, other",6990635434,8076526794,7447054437,7613151494,8444715664,8699496013,8000156461,6198043856,7259338540,9152018270
0000,World Total,12300,Finished metal shapes,20125094392,21020421353,19648425123,18006643231,18582915634,20153572894,20032411826,17751374031,22187669798,25417432675
0000,World Total,12420,Pulpwood and woodpulp,9076015634,9049514693,8804225223,8477510484,8776558255,9408770629,8484285832,7600044982,9563329066,10927643921
0000,World Total,12430,Newsprint,13413478042,13455512742,12937250623,12346575159,13272801891,13996006737,12752408843,11733382285,13264827162,14712726334
0000,World Total,12500,Plastic materials,36319290217,36944063261,34155757795,32550762459,34730628449,38126761609,37789928431,34624586799,44099380530,50247592704
0000,World Total,12510,Chemicals-fertilizers,9666697717,9504464181,8717517647,7454634687,8289807821,8846719178,8677088805,8171618028,9737497888,15863293808
0000,World Total,12530,Chemicals-inorganic,9116656187,9229187681,8830701917,8187129673,9200449087,9993614462,9481211586,8953319427,10879956055,13251642532
0000,World Total,12540,Chemicals-organic,35051361221,33173615549,30018858992,26307319927,28338938214,31330049524,28596549981,26335593376,34064963049,39802126843
0000,World Total,12550,Chemicals-other,30346540136,30323800228,29532896083,29306707453,31430519836,33550503801,33298948135,33062789521,39133868963,41990564108
0000,World Total,12600,Cotton fiber cloth,2500012637,2525494512,2301920504,2052256277,2116278269,2138501195,2082598294,1266707319,1724984288,2028169640
0000,World Total,12620,Manmade cloth,7220026342,7360179446,6975597406,6628351528,6604742831,6791071793,6610089075,5647092068,6325836368,6838364711
0000,World Total,12630,"Hair, waste materials",659832838,661173003,687653766,620129661,633225656,616154093,597452585,481663442,594006738,714224688
0000,World Total,12640,Finished textile supplies,3019780322,3228326962,3170116523,3026319495,3168108788,3189236682,2940945352,2598229551,2996037607,3100298209
0000,World Total,12650,Leather and furs,1273896664,1430402226,1231522871,1109027134,1025850942,915876246,774628506,551695222,785631134,730218301
0000,World Total,12700,Synthetic rubber-primary,4102273730,3987868202,3369984331,3235318991,3582759230,3578668919,3082839254,2580954573,3398587721,3852345927
0000,World Total,12720,Nonmetallic minerals,872413958,1005415433,910371111,798645928,978146366,1023356852,631175784,480065719,731403303,1019599365
0000,World Total,12750,Industrial rubber products,4981420548,5278158789,4996152206,4315358150,4611311583,4756126705,4624804292,4124457183,4603537583,5327779467
0000,World Total,12760,Mineral supplies-manufactured,5582469869,5923333519,5966900757,5921908431,6418395966,6942034075,6937064126,6073091459,7085534920,7784554867
0000,World Total,12765,"Tapes, audio and visual",284021807,233548094,193702367,168395791,167826678,129089757,165452344,94187999,123713471,153018824
0000,World Total,12770,Other industrial supplies,24778030756,26024304980,26456793457,26117512381,27047980965,28332496048,27365971954,25254846050,29727598348,32574373154
0000,World Total,13100,Logs and lumber,6301761587,6878460463,5893962626,6180819571,7074089445,6893109862,5235771792,4853604098,6411774889,6225194028
0000,World Total,13110,"Wood supplies, manufactured",1412607879,1435666205,1238978880,1126016285,1051621638,1110400083,1126246740,999460056,1322070307,1510462330
0000,World Total,13200,"Glass-plate, sheet, etc.",1650187983,1618929827,1517917145,1518744684,1396122357,1360545069,1339439235,1195014317,1329661478,1353352619
0000,World Total,13210,"Shingles, molding, wallboard",4740711646,4970711471,4811713692,4470014622,4724970344,4966770487,4600559667,4058433958,4921244820,5588161144
0000,World Total,13220,Nontextile floor tiles,591883081,627915820,575188594,555641245,564836668,534852882,528830641,431640382,493722498,561760494
0000,World Total,20000,"Generators, accessories",14236940789,14681747368,13511514905,12297831695,11538213012,11958267507,12358291816,11519657334,12489928128,13952491874
0000,World Total,20005,Electric apparatus,40239409552,41586907643,41877645367,41332436619,43390676509,45733121838,43484522710,38170071445,42939154999,49225966625
0000,World Total,21000,Drilling & oilfield equipment,12321156871,11906719033,8629129915,4893758589,3708764086,4122833863,5392639395,2785636973,2464277981,2961269459
0000,World Total,21010,Specialized mining,1745987383,1584569080,1244566317,789581117,914724797,1040234732,1148560290,857350158,963515113,1015119896
0000,World Total,21030,Excavating machinery,14764790552,13047634811,10426493293,8782413711,10202014842,11614780087,10645062552,9032785068,10515447399,12079308727
0000,World Total,21040,Nonfarm tractors and parts,3092554546,3020680884,2836666253,2533623011,3110826411,3508628922,3275288125,2861852539,3159670243,3604374789
0000,World Total,21100,Industrial engines,29259517939,30546318991,28327180104,26036259207,25255274320,25346285798,24748451669,21698092351,23321070652,26750179564
0000,World Total,21110,"Food, tobacco machinery",3921095322,3998701078,3937581180,3519869478,3521238392,3625488766,3643381337,3318639850,3613605763,4146306629
0000,World Total,21120,Metalworking machine tools,7675502123,7623623882,7284758100,6530022079,6683462865,7262000796,6495024397,5109653681,6272595359,6870130870
